País;Año;V1;V2;V3;V4;V5
Paraguay;2001;3160,957414;5767,706014;-5053,903836;5545,33743;418,6453958
Paraguay;2002;3095,41635;5653,798345;-5062,104441;5301,288222;395,9037677
Paraguay;2003;3640,894349;6578,241094;-5468,375881;6686,009937;491,118356
Paraguay;2004;4448,661773;8280,068512;-6794,654583;8499,94984;630,0863948
Paraguay;2005;4004,835559;7380,641389;-6129,702366;7475,419314;561,6839813
Paraguay;2006;4084,237797;7407,301512;-6125,091686;7544,819025;563,5673079
Paraguay;2007;4491,74663;8216,615537;-6829,777792;8315,756664;629,0384832
Paraguay;2008;4834,680637;8392,452845;-6730,464624;8890,318197;666,2081156
Peru;1993;1734,790436;3024,550516;-2992,614887;2510,793381;216,4682698
Peru;1994;1978,281963;3615,607445;-3601,377518;2960,58706;247,7079367
Peru;1995;2139,39271;3971,823049;-3915,688402;3288,892441;272,7057781
Peru;1996;2175,419243;4007,922021;-3932,290734;3351,507346;273,1101826
Peru;1997;2208,344991;4064,962699;-3992,777103;3396,242174;274,1305224
Peru;1998;2153,633153;3919,005264;-3877,830198;3248,571778;264,2143079
Peru;1999;2134,003545;3843,523693;-3820,014598;3172,591291;250,1062521
Peru;2000;2223,034811;4030,699502;-3983,496901;3357,031872;267,0314394
Peru;2001;2231,342665;4051,412529;-4036,489165;3342,637044;268,6543366
Peru;2002;2311,561043;4218,083501;-4207,119207;3470,266559;255,2900544
Peru;2003;2385,973823;4374,266488;-4367,738599;3598,411662;260,9371962
Peru;2004;2461,594335;4504,252868;-4486,48292;3728,052192;270,9370983
Peru;2005;2556,127712;4644,712278;-4580,791966;3901,328147;283,8846425
Peru;2006;2574,185296;4589,359526;-4537,805979;3866,313606;275,8212406
Peru;2007;2676,339942;4636,662645;-4588,835955;3934,711099;263,418382
Peru;2008;2856,425091;5010,593824;-4900,873911;4281,104583;293,634641
Uruguay;1993;3370,152455;5730,665409;-4833,967927;5842,577588;465,2357428
Uruguay;1994;3503,059462;5996,631176;-5028,116969;6127,591939;492,6107427
Uruguay;1995;3487,722725;5844,650073;-4872,404955;6044,854501;477,0450651
Uruguay;1996;3693,14587;6295,187893;-5303,254002;6443,228319;509,6233859
Uruguay;1997;3946,051811;6690,593525;-5505,016883;6998,32789;549,4372593
Uruguay;1998;4330,111091;7359,189525;-6184,975875;7597,903414;588,4259554
Uruguay;1999;4292,486194;7286,122235;-6128,825965;7510,4858;580,6900271
Uruguay;2000;4569,028649;7530,391278;-5835,89897;8305,473311;660,5751372
Uruguay;2001;4421,099454;7228,288252;-5597,266191;7970,587747;636,3850945
Uruguay;2002;4044,127922;6584,446203;-5267,670692;7069,967751;562,9828781
Uruguay;2003;3997,63286;6637,486251;-5554,342538;6879,758006;534,6876721
Uruguay;2004;4306,7055;7156,13265;-5874,757768;7534,769065;593,6285677
Uruguay;2005;4443,89038;7384,969436;-6079,152378;7770,145036;607,1906303
Uruguay;2006;4037,827526;6280,867805;-5151,251786;6729,156734;509,7291715
Uruguay;2007;4231,753749;6482,735635;-5257,641167;7034,044576;527,9379801
Uruguay;2008;4436,647785;6831,219003;-5871,512498;7120,438893;506,8238857
Venezuela;1993;3776,135429;6360,016171;-6477,155156;5607,914117;353,1422893
Venezuela;1994;3528,651751;5914,509532;-6208,568623;5015,27285;307,2892086
Venezuela;1995;3634,775995;6023,827753;-6159,402978;5300,819545;324,3224989
Venezuela;1996;3557,593291;5824,696356;-5969,718622;5133,749024;309,4965736
Venezuela;1997;3681,801643;6064,240742;-6212,843992;5329,519072;322,4507578
Venezuela;1998;3594,919627;5903,706755;-6085,903543;5146,019068;309,1555884
Venezuela;1999;3394,370109;5402,41902;-5560,498015;4766,715554;274,2086856
Venezuela;2000;3451,199431;5441,30783;-5589,144173;4831,099608;277,1691907
Venezuela;2001;3480,361285;5464,410536;-5660,437385;4815,526151;270,4289552
Venezuela;2002;3316,858599;5016,638309;-5212,841085;4465,324985;242,4859578
Venezuela;2003;3106,342963;4579,546317;-4815,026183;4056,02548;206,1494553
Venezuela;2004;3526,793973;5413,337097;-5552,255947;4886,276184;260,5991322
Venezuela;2005;3859,702332;6087,755443;-6249,797316;5420,451855;299,8696401
Venezuela;2006;4140,836418;6519,435269;-6644,485233;5845,641288;329,6632708
Venezuela;2007;4388,701936;6987,405816;-7038,728997;6318,191385;360,3783906
Venezuela;2008;4686,550197;7103,678637;-7298,175382;6480,498073;334,5902952
